Transect,Plot,Species,DBH,Live/Dead,Notes,Species Code,PlotID
1,1,Betula lenta,15.5,Dead,,BELE,1_1
1,1,Betula lenta,27.5,Live,,BELE,1_1
1,1,Betula lenta,14.5,Live,,BELE,1_1
1,1,Betula lenta,13,Live,,BELE,1_1
1,1,Betula lenta,13,Live,,BELE,1_1
1,1,Liriodendron tulipifera,29,Live,,LITU,1_1
1,1,Betula lenta,24,Live,,BELE,1_1
1,1,Betula lenta,6,Live,,BELE,1_1
1,1,Betula allegheniensis,9,Live,,BEAL,1_1
1,1,Liriodendron tulipifera,45,Live,,LITU,1_1
1,1,Tsuga canadensis,15.5,Live,,TSCA,1_1
1,1,Sp. 1,15,Dead,,?,1_1
1,1,Betula lenta,29,Live,,BELE,1_1
1,1,Sp. 1,16,Live,,?,1_1
1,1,Tsuga canadensis,31.5,Live,,TSCA,1_1
1,1,Sp. 1,16,Live,,?,1_1
1,1,Tsuga canadensis,25.5,Live,,TSCA,1_1
1,1,Acer rubrum,14.5,Dead,,ACRU,1_1
1,1,Tsuga canadensis,21,Dead,,TSCA,1_1
1,1,Betula allegheniensis,16,Live,,BEAL,1_1
1,1,Betula allegheniensis,17,Live,,BEAL,1_1
1,1,Betula lenta,37,Live,,BELE,1_1
1,1,Quercus rubra,92,Live,,QURU,1_1
1,1,Tsuga canadensis,38,Live,,TSCA,1_1
1,1,Betula lenta,35,Live,,BELE,1_1
1,1,Betula lenta,7,Live,,BELE,1_1
1,1,Betula lenta,7,Live,,BELE,1_1
1,1,Betula lenta,37,Live,,BELE,1_1
1,2,Tsuga canadensis,39.5,Live,,TSCA,1_2
1,2,Tsuga canadensis,46,Live,,TSCA,1_2
1,2,Tsuga canadensis,44.5,Live,,TSCA,1_2
1,2,Tsuga canadensis,36,Live,,TSCA,1_2
1,2,Tsuga canadensis,37.5,Live,,TSCA,1_2
1,2,Tsuga canadensis,47,Live,,TSCA,1_2
1,2,Pinus strobus,21.5,Dead,,PIST,1_2
1,3,Quercus rubra,7.5,Live,,QURU,1_3
1,3,Acer rubrum,36,Dead,,ACRU,1_3
1,3,Acer rubrum,36,Live,,ACRU,1_3
1,3,Acer rubrum,26,Live,,ACRU,1_3
1,3,Quercus velutina,9,Live,,QUVE,1_3
1,3,Quercus velutina,9.5,Live,,QUVE,1_3
1,3,Sp. 2,18,Dead,Fallen sideways,?,1_3
1,3,Quercus sp.,10,Live,,QUSP,1_3
1,3,Quercus sp.,8,Live,,QUSP,1_3
1,3,Quercus sp.,9.5,Live,,QUSP,1_3
1,3,Quercus sp.,11,Live,,QUSP,1_3
1,3,Quercus sp.,11.5,Live,,QUSP,1_3
1,3,Quercus sp.,12.5,Live,,QUSP,1_3
1,3,Quercus sp.,10,Live,,QUSP,1_3
1,3,Carya glabra,88,Live,,CAGL,1_3
1,3,Quercus velutina,12,Live,,QUVE,1_3
1,3,Quercus sp.,10,Live,,QUSP,1_3
1,3,Quercus sp.,17,Live,,QUSP,1_3
1,3,Acer rubrum,27,Dead,,ACRU,1_3
1,3,Acer rubrum,31.5,Dead,,ACRU,1_3
1,3,Quercus sp.,5.5,Live,,QUSP,1_3
1,3,Acer rubrum,43.5,Live,,ACRU,1_3
1,3,Sassafras albidum,15.5,Live,,SAAL,1_3
1,3,Sassafras albidum,8,Live,,SAAL,1_3
1,3,Quercus sp.,6.5,Live,,QUSP,1_3
1,3,Acer rubrum,20.5,Dead,,ACRU,1_3
1,3,Acer rubrum,27.5,Live,,ACRU,1_3
1,3,Acer rubrum,18.5,Live,,ACRU,1_3
1,3,Acer rubrum,25.5,Live,,ACRU,1_3
1,3,Carya glabra,30,Live,,CAGL,1_3
1,3,Acer rubrum,13.5,Dead,,ACRU,1_3
1,3,Acer rubrum,22.5,Live,,ACRU,1_3
1,3,Acer rubrum,24,Live,,ACRU,1_3
1,3,Acer rubrum,20,Live,,ACRU,1_3
1,3,Kalmia latifolia,8,Live,,KALA,1_3
2,1,Quercus sp.,15.5,Live,,QUSP,2_1
2,1,Quercus rubra,13,Live,,QURU,2_1
2,1,Betula allegheniensis,7.5,Live,,BEAL,2_1
2,1,Quercus velutina,16.5,Dead,,QUVE,2_1
2,1,Betula lenta,7,Live,,BELE,2_1
2,1,Acer rubrum,11.5,Live,,ACRU,2_1
2,1,Acer rubrum,20,Dead,,ACRU,2_1
2,1,Betula allegheniensis,9.5,Live,,BEAL,2_1
2,1,Acer rubrum,16,Live,,ACRU,2_1
2,1,Betula allegheniensis,8.5,Live,,BEAL,2_1
2,1,Acer rubrum,27,Live,,ACRU,2_1
2,1,Acer rubrum,11,Live,,ACRU,2_1
2,1,Liriodendron tulipifera,19,Live,,LITU,2_1
2,1,Liriodendron tulipifera,81.5,Live,,LITU,2_1
2,1,Acer rubrum,12,Live,,ACRU,2_1
2,1,Acer rubrum,5.5,Live,,ACRU,2_1
2,1,Liriodendron tulipifera,43.5,Live,,LITU,2_1
2,1,Betula lenta,14.5,Live,,BELE,2_1
2,1,Quercus velutina,16,Live,,QUVE,2_1
2,1,Betula allegheniensis,11,Live,,BEAL,2_1
2,1,Quercus velutina,17,Live,,QUVE,2_1
2,1,Acer rubrum,9,Live,,ACRU,2_1
2,1,Acer rubrum,11,Live,,ACRU,2_1
2,1,Quercus alba,5,Live,,QUAL,2_1
2,1,Quercus alba,7,Live,,QUAL,2_1
2,1,Quercus alba,52,Live,,QUAL,2_1
4,1,Quercus sp.,44.1,Live,,QUSP,4_1
4,1,Kalmia latifolia,6,Live,,KALA,4_1
4,1,Nyssa sylvatica,30,Live,,NYSY,4_1
4,1,Kalmia latifolia,6.4,Live,,KALA,4_1
4,1,Sassafras albidum,11.7,Live,,SAAL,4_1
4,1,Kalmia latifolia,6,Live,,KALA,4_1
4,1,Nyssa sylvatica,25,Live,,NYSY,4_1
4,1,Kalmia latifolia,7.9,Live,,KALA,4_1
4,1,Kalmia latifolia,6,Live,,KALA,4_1
4,1,Acer rubrum,47.7,Live,Forked tree,ACRU,4_1
4,1,Acer rubrum,54.3,Live,Forked tree,ACRU,4_1
4,1,Kalmia latifolia,5.4,Dead,,KALA,4_1
4,1,Kalmia latifolia,7.6,Live,,KALA,4_1
4,1,Kalmia latifolia,7.1,Live,,KALA,4_1
4,1,Kalmia latifolia,9.6,Live,,KALA,4_1
4,1,Quercus coccinia,50.9,Live,,QUCO,4_1
4,1,Nyssa sylvatica,6.7,Live,,NYSY,4_1
4,1,Betula lenta,17.2,Live,Fungal disease?,BELE,4_1
4,1,Kalmia latifolia,6.5,Live,,KALA,4_1
4,1,Kalmia latifolia,8.5,Dead,,KALA,4_1
4,1,Kalmia latifolia,9.5,Live,,KALA,4_1
4,1,Kalmia latifolia,9.2,Live,,KALA,4_1
4,1,Kalmia latifolia,7,Live,,KALA,4_1
4,1,Kalmia latifolia,9.6,Live,,KALA,4_1
4,1,Kalmia latifolia,8.8,Live,,KALA,4_1
4,1,Kalmia latifolia,9.3,Live,,KALA,4_1
4,1,Kalmia latifolia,8.9,Live,,KALA,4_1
4,1,Kalmia latifolia,7.7,Live,,KALA,4_1
4,1,Kalmia latifolia,5.3,Live,,KALA,4_1
4,1,Kalmia latifolia,5.5,Live,,KALA,4_1
4,1,Kalmia latifolia,8,Live,,KALA,4_1
4,1,Kalmia latifolia,6.4,Live,,KALA,4_1
4,1,Acer rubrum,20.1,Live,,ACRU,4_1
4,1,Acer rubrum,6.2,Live,,ACRU,4_1
4,1,Acer rubrum,5.4,Live,,ACRU,4_1
4,1,Acer rubrum,32.5,Live,,ACRU,4_1
4,1,Kalmia latifolia,8.9,Live,,KALA,4_1
4,1,Sassafras albidum,12.9,Live,,SAAL,4_1
4,1,Nyssa sylvatica,22.4,Live,,NYSY,4_1
4,1,Kalmia latifolia,5,Live,,KALA,4_1
4,1,Kalmia latifolia,8,Live,,KALA,4_1
4,1,Kalmia latifolia,7.3,Live,,KALA,4_1
4,2,Tsuga canadensis,31.4,Dead,,TSCA,4_2
4,2,Acer rubrum,37.4,Live,,ACRU,4_2
4,2,Acer rubrum,36.4,Live,,ACRU,4_2
4,2,Acer rubrum,17.3,Live,,ACRU,4_2
4,2,Kalmia latifolia,7.2,Live,,KALA,4_2
4,2,Nyssa sylvatica,40.4,Live,,NYSY,4_2
4,2,Kalmia latifolia,11.8,Live,,KALA,4_2
4,2,Acer rubrum,14.7,Live,,ACRU,4_2
4,2,Kalmia latifolia,7.5,Live,,KALA,4_2
4,2,Acer rubrum,8,Dead,,ACRU,4_2
4,2,Acer rubrum,24.2,Live,,ACRU,4_2
4,2,Acer rubrum,21.5,Live,,ACRU,4_2
4,2,Acer rubrum,44.3,Live,,ACRU,4_2
4,2,Nyssa sylvatica,11.8,Live,,NYSY,4_2
4,2,Acer rubrum,25.2,Live,,ACRU,4_2
4,2,Acer rubrum,39.6,Live,,ACRY,4_2
4,2,Betula alleghaniensis,23.7,Live,,BEAL,4_2
4,2,Betula alleghaniensis,30,Live,,BEAL,4_2
4,2,Kalmia latifolia,6.2,Live,,KALA,4_2
4,2,Betula lenta,32.5,Live,,BELE,4_2
4,2,Kalmia latifolia,5.1,Live,,KALA,4_2
4,2,Kalmia latifolia,5.5,Live,,KALA,4_2
4,2,Kalmia latifolia,6.6,Live,,KALA,4_2
4,2,Kalmia latifolia,6.6,Live,,KALA,4_2
4,2,Kalmia latifolia,8.2,Live,,KALA,4_2
4,2,Kalmia latifolia,5.9,Live,,KALA,4_2